subject_id,task,n_words,reading_duration_sec,reading_speed_wpm
1075,T1,89,69.93361,76.35813452215608
1095,T5,97,122.661051,47.44782433015351
1377,T4,88,76.785193,68.7632575202357
1300,T4,88,226.504106,23.31083569849281
1398,T1,89,77.829016,68.61194287744817
1322,T4,88,115.909849,45.55264324431999
1115,T5,97,148.951484,39.073125313743105
1090,T5,97,150.35085,38.70945857638982
1058,T4,88,51.159525,103.2065876295763
1591,T1,89,116.481529,45.84417843622228
1255,T4,88,79.437005,66.46776272594869
1571,T4,88,112.070074,47.11338015177896
1417,T1,89,79.385067,67.26705918129413
1271,T1,89,67.63402,78.95434871385731
1760,T4,88,64.610324,81.72068600058405
1318,T1,89,84.196728,63.42289215799455
1571,T1,89,106.730499,50.03255910946317
